entidad,periodo,mujeres
Aguascalientes,2018,51.9
Aguascalientes,2016,48.1
Aguascalientes,2013,29.6
Aguascalientes,2010,7.4
Aguascalientes,2007,18.5
Aguascalientes,2004,11.1
Aguascalientes,2001,11.1
Aguascalientes,1998,11.1
Aguascalientes,1995,11.1
Aguascalientes,1992,4
Aguascalientes,1989,25
Aguascalientes,1986,6.3
Aguascalientes,1983,6.3
Aguascalientes,1980,5.9
Aguascalientes,1977,7.1
Aguascalientes,1974,11.1
Aguascalientes,1971,11.1
Aguascalientes,1968,11.1
Aguascalientes,1965,12.5
Aguascalientes,1962,0
Aguascalientes,1959,0
Aguascalientes,1956,0
Baja California,2019,48
Baja California,2016,32
Baja California,2013,32
Baja California,2010,28
Baja California,2007,20
Baja California,2004,8
Baja California,2001,12
Baja California,1998,4
Baja California,1995,3.8
Baja California,1992,10.5
Baja California,1989,10.5
Baja California,1986,10.5
Baja California,1983,12.5
Baja California,1980,13.3
Baja California,1977,9.1
Baja California,1974,9.1
Baja California,1971,9.1
Baja California,1968,11.1
Baja California,1965,11.1
Baja California,1962,11.1
Baja California,1959,0
Baja California,1956,0
Baja California Sur,2018,57.1
Baja California Sur,2015,47.6
Baja California Sur,2011,33.3
Baja California Sur,2008,28.6
Baja California Sur,2005,33.3
Baja California Sur,2002,28.6
Baja California Sur,1999,19
Baja California Sur,1996,10
Baja California Sur,1993,12.5
Baja California Sur,1990,5.6
Baja California Sur,1987,0
Baja California Sur,1984,7.7
Baja California Sur,1981,10
Baja California Sur,1978,12.5
Baja California Sur,1975,12.5
Baja California Sur,1974,14.3
Campeche,2018,54.3
Campeche,2015,57.1
Campeche,2012,31.4
Campeche,2009,34.3
Campeche,2006,28.6
Campeche,2003,31.4
Campeche,2000,17.1
Campeche,1997,20
Campeche,1994,20
Campeche,1992,13.3
Campeche,1989,17.9
Campeche,1986,8.3
Campeche,1983,8.7
Campeche,1980,0
Campeche,1977,0
Campeche,1974,0
Campeche,1971,0
Campeche,1968,0
Campeche,1965,0
Campeche,1962,0
Campeche,1959,0
Campeche,1956,0
Ciudad de México,2018,50
Ciudad de México,2015,53
Ciudad de México,2012,50
Ciudad de México,2009,27.3
Ciudad de México,2006,24.2
Ciudad de México,2003,33.3
Ciudad de México,2000,30.3
Ciudad de México,1997,25.8
Ciudad de México,1994,22.7
Ciudad de México,1991,21.2
Ciudad de México,1988,18.2
Coahuila,2018,56
Coahuila,2015,48
Coahuila,2012,12
Coahuila,2009,19.4
Coahuila,2006,8.6
Coahuila,2003,20
Coahuila,2000,18.8
Coahuila,1997,12.5
Colima,2018,56
Colima,2015,40
Colima,2012,24
Colima,2009,20
Colima,2006,24
Colima,2003,16
Colima,2000,12
Colima,1997,25
Colima,1994,15
Colima,1991,15
Colima,1988,17.6
Colima,1985,7.7
Colima,1982,11.1
Colima,1979,22.2
Colima,1976,14.3
Colima,1973,14.3
Colima,1970,14.3
Colima,1967,14.3
Colima,1964,0
Colima,1961,0
Colima,1958,0
Colima,1955,0
Chiapas,2018,67.5
Chiapas,2015,60
Chiapas,2013,32.5
Chiapas,2010,35
Chiapas,2007,15
Chiapas,2004,15
Chiapas,2001,10
Chiapas,1998,10
Chihuahua,2018,45.5
Chihuahua,2016,51.5
Chihuahua,2013,42.4
Chihuahua,2010,21.2
Chihuahua,2007,21.2
Chihuahua,2004,25.6
Chihuahua,2001,9.1
Chihuahua,1998,18.2
Chihuahua,1995,12.5
Chihuahua,1992,7.1
Chihuahua,1989,7.1
Chihuahua,1986,18.8
Chihuahua,1983,0
Chihuahua,1980,6.3
Chihuahua,1977,8.3
Chihuahua,1974,7.1
Chihuahua,1971,0
Chihuahua,1968,7.1
Chihuahua,1965,8.3
Chihuahua,1962,0
Chihuahua,1959,0
Chihuahua,1956,0
Durango,2018,40
Durango,2016,44
Durango,2013,23.3
Durango,2010,23.3
Durango,2007,16.7
Durango,2004,8
Durango,2001,8.3
Durango,1998,4
Durango,1995,4
Guanajuato,2018,50
Guanajuato,2015,44.4
Guanajuato,2012,16.7
Guanajuato,2009,27.8
Guanajuato,2006,16.7
Guanajuato,2003,19.4
Guanajuato,2000,16.7
Guanajuato,1997,8.3
Guanajuato,1994,
Guanajuato,1991,
Guanajuato,1988,
Guanajuato,1985,
Guanajuato,1982,
Guanajuato,1979,
Guanajuato,1976,6.7
Guanajuato,1973,7.7
Guanajuato,1971,7.7
Guanajuato,1968,7.7
Guanajuato,1965,9.1
Guanajuato,1962,0
Guanajuato,1959,0
Guanajuato,1956,0
Guerrero,2018,41.3
Guerrero,2015,39.1
Guerrero,2012,19.6
Guerrero,2009,23.9
Guerrero,2005,28.3
Guerrero,2002,8.7
Guerrero,1999,15.2
Guerrero,1996,21.7
Guerrero,1993,6.5
Guerrero,1990,10.8
Guerrero,1987,16
Guerrero,1984,12.5
Guerrero,1981,15.4
Guerrero,1978,16.7
Guerrero,1975,9.1
Guerrero,1972,9.1
Guerrero,1969,9.1
Guerrero,1966,9.1
Guerrero,1963,9.1
Guerrero,1960,9.1
Guerrero,1958,0
Guerrero,1955,0
Hidalgo,2018,53.3
Hidalgo,2016,36.7
Hidalgo,2013,30
Hidalgo,2011,33.3
Hidalgo,2008,26.7
Hidalgo,2005,24.1
Hidalgo,2002,17.2
Hidalgo,1999,6.9
Hidalgo,1996,22.2
Hidalgo,1993,8.3
Hidalgo,1990,10
Hidalgo,1987,5
Hidalgo,1984,5
Hidalgo,1981,10.5
Hidalgo,1978,6.7
Hidalgo,1975,6.7
Hidalgo,1975,13.3
Hidalgo,1972,6.7
Hidalgo,1969,9.1
Hidalgo,1966,9.1
Hidalgo,1963,0
Hidalgo,1960,0
Hidalgo,1957,0
Hidalgo,1954,0
Jalisco,2018,42.1
Jalisco,2016,46.2
Jalisco,2013,23.1
Jalisco,2010,17.9
Jalisco,2007,10
Jalisco,2004,15
Jalisco,2001,7.5
Jalisco,1998,7.5
Jalisco,1995,5.4
Jalisco,1992,5.9
Jalisco,1989,5.7
Jalisco,1986,3.8
Jalisco,1983,7.7
Jalisco,1980,7.7
Jalisco,1977,16.7
Jalisco,1974,5.6
Jalisco,1971,5.6
Jalisco,1968,5.6
Jalisco,1965,5.6
Jalisco,1962,5.6
Jalisco,1959,5.6
Jalisco,1956,0
México,2018,48
México,2015,37.3
México,2012,17.3
México,2009,17.3
México,2006,18.7
México,2003,14.7
México,2000,12
México,1996,6.7
México,1993,9.1
México,1990,14
México,1987,15.6
México,1984,11.1
México,1981,10.8
México,1978,2.9
México,1975,12.5
México,1972,6.7
México,1969,6.7
México,1966,7.7
México,1963,7.7
México,1960,0
México,1957,7.7
México,1954,7.7
Michoacán,2018,37.5
Michoacán,2015,45
Michoacán,2012,22.5
Michoacán,2008,12.5
Michoacán,2005,17.5
Michoacán,2001,15
Michoacán,1998,13.3
Michoacán,1995,6.7
Morelos,2018,70
Morelos,2015,20
Morelos,2012,23.3
Morelos,2009,30
Morelos,2006,26.7
Morelos,2003,10
Morelos,2000,10
Morelos,1997,26.7
Morelos,1994,12
Morelos,1991,22.2
Morelos,1988,13.3
Morelos,1985,6.7
Morelos,1982,26.7
Morelos,1979,6.7
Morelos,1976,11.1
Morelos,1973,14.3
Morelos,1970,14.3
Morelos,1968,14.3
Morelos,1965,0
Morelos,1962,14.3
Morelos,1959,0
Morelos,1956,0
Nayarit,2017,36.7
Nayarit,2014,46.7
Nayarit,2011,26.7
Nayarit,2008,9.4
Nayarit,2005,23.3
Nayarit,2002,13.3
Nayarit,1999,13.3
Nayarit,1996,10
Nayarit,1993,6.7
Nayarit,1990,10.3
Nayarit,1987,10
Nayarit,1984,13.6
Nayarit,1981,10
Nayarit,1978,10
Nayarit,1975,10
Nayarit,1972,11.1
Nayarit,1969,14.3
Nayarit,1966,14.3
Nayarit,1963,0
Nayarit,1960,0
Nayarit,1957,0
Nayarit,1954,0
Nuevo León,2018,50
Nuevo León,2015,38.1
Nuevo León,2012,19
Nuevo León,2009,26.2
Nuevo León,2006,19
Nuevo León,2003,26.2
Nuevo León,2000,7.1
Nuevo León,1997,14.3
Nuevo León,1994,16.7
Nuevo León,1991,12.5
Oaxaca,2018,57.1
Oaxaca,2016,42.9
Oaxaca,2013,40.5
Oaxaca,2010,35.7
Oaxaca,2007,23.8
Oaxaca,2004,28.6
Oaxaca,2001,14.3
Oaxaca,1998,7.3
Oaxaca,1995,7.1
Oaxaca,1992,6.5
Oaxaca,1989,4.2
Oaxaca,1986,8.3
Oaxaca,1983,8.3
Oaxaca,1980,12.5
Oaxaca,1977,13.3
Oaxaca,1974,6.7
Oaxaca,1971,6.7
Oaxaca,1968,6.7
Oaxaca,1965,6.7
Oaxaca,1962,0
Oaxaca,1959,0
Oaxaca,1956,0
Puebla,2018,43.9
Puebla,2014,29.3
Puebla,2011,17.1
Puebla,2008,34.1
Puebla,2005,25.6
Querétaro,2018,52
Querétaro,2015,52
Querétaro,2012,8
Quintana Roo,2019,52
Quintana Roo,2016,44
Quintana Roo,2013,36
Quintana Roo,2011,20
Quintana Roo,2008,20
Quintana Roo,2005,24
Quintana Roo,2002,36
Quintana Roo,1999,16
Quintana Roo,1996,20
Quintana Roo,1993,5.6
Quintana Roo,1990,11.1
Quintana Roo,1987,6.7
Quintana Roo,1984,13.3
Quintana Roo,1981,8.3
Quintana Roo,1978,10
Quintana Roo,1975,14.3
Quintana Roo,1974,0
San Luis Potosí,2018,48.1
San Luis Potosí,2015,33.3
San Luis Potosí,2012,18.5
San Luis Potosí,2009,22.2
San Luis Potosí,2006,25.9
San Luis Potosí,2003,18.5
San Luis Potosí,2000,3.7
San Luis Potosí,1997,14.8
San Luis Potosí,1993,0
San Luis Potosí,1990,10
San Luis Potosí,1987,10
San Luis Potosí,1984,10
San Luis Potosí,1981,10
San Luis Potosí,1978,9.1
San Luis Potosí,1975,9.1
San Luis Potosí,1972,0
San Luis Potosí,1969,0
San Luis Potosí,1966,9.1
San Luis Potosí,1963,8.3
San Luis Potosí,1960,9.1
San Luis Potosí,1957,18.2
San Luis Potosí,1954,0
Sinaloa,2018,47.5
Sinaloa,2016,45
Sinaloa,2013,35
Sinaloa,2010,17.5
Sinaloa,2007,22.5
Sinaloa,2004,17.5
Sinaloa,2001,15.4
Sinaloa,1998,22.5
Sinaloa,1995,12.5
Sonora,2018,42.4
Sonora,2015,39.4
Sonora,2012,24.2
Sonora,2009,21.2
Sonora,2006,18.2
Sonora,2003,12.9
Sonora,2000,12.1
Sonora,1997,12.1
Sonora,1994,9.1
Sonora,1991,22.2
Sonora,1988,14.8
Sonora,1985,8.3
Sonora,1982,12.5
